_id,year,examType,name,region,council,ward,ownership,institutionType,confidenceLevel,comments,division_one_females,division_one_males,division_one_total,division_two_females,division_two_males,division_two_total,division_three_females,division_three_males,division_three_total,division_four_females,division_four_males,division_four_total,division_zero_females,division_zero_males,division_zero_total,posted_date
6846e012eb366ee3e4254392,2005,ACSEE,AZANIA,Dar es Salaam,Dar es Salaam CC,Upanga Magharibi,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e4254393,2005,ACSEE,BIHAWANA,Dodoma,Dodoma CC,Mbabala,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,2,2,0,6,6,0,28,28,0,5,5,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e4254394,2005,ACSEE,DUNGUNYI SEMINARY,Singida,Ikungi,Dung'unyi,Non-Government,School,97,"Confidence level is desired to be above 90%, anything below that is less reliable",0,3,3,0,3,3,0,1,1,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e4254395,2005,ACSEE,LUTHERAN JUNIOR SE,Kilimanjaro,Moshi,Mamba Kusini,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",11,12,23,10,12,22,11,13,24,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e4254396,2005,ACSEE,IFUNDA,Mbeya,Busokelo,Lufilyo,Government,School,92,"Confidence level is desired to be above 90%, anything below that is less reliable",1,12,13,4,17,21,18,21,39,11,2,13,5,3,8,2005-07-14 00:00:00
6846e012eb366ee3e4254397,2005,ACSEE,IHUNGO,Kagera,Bukoba MC,Nshambya,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,6,6,0,19,19,0,14,14,0,4,4,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e4254398,2005,ACSEE,ILBORU,Arusha,Arusha,Moivo,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,72,72,0,32,32,0,13,13,0,1,1,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e4254399,2005,ACSEE,MAFINGA SEMINARY,Iringa,Mafinga TC,Changarawe,Non-Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,5,5,0,6,6,0,8,8,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e425439a,2005,ACSEE,KAENGESA SEMINARY,Dar es Salaam,Ubungo MC,Kibamba,Non-Government,School,90,"Confidence level is desired to be above 90%, anything below that is less reliable",0,0,0,0,1,1,0,7,7,0,0,0,0,0,0,2005-07-14 00:00:00
6846e012eb366ee3e425439b,2005,ACSEE,KANTALAMBA,Rukwa,Sumbawanga MC,Chanji,Government,School,100,"Confidence level is desired to be above 90%, anything below that is less reliable",0,36,36,0,18,18,0,8,8,0,0,0,0,1,1,2005-07-14 00:00:00
